"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W912CH-24-R-0101,,EH4L0158EH_T-11R INSERT,No,No,$250K to $1M,1670,314999,,CONTR,,Firm Fixed Price,11/20/2024,12/30/2024,2/17/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 021535,,PR# 12165313 HDCSO FLIR Repair Parts FY2025,,,$250K to $1M,UNKNOWN,,,CONTR,,Firm Fixed Price,2/25/2025,3/24/2025,9/15/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91CRB-25-R-5006,,FY25 SAMD SETA,No,No,$50M to $100M,R425,541523,,CONTR,,Cost Plus Fixed Fee,4/23/2025,5/23/2025,,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-24-P-0000 011498,,"DRK, P13, Mag Particle & X-Ray PM",No,No,$250K to $1M,J066,811210,,CONTR,,Firm Fixed Price,12/23/2024,1/27/2025,4/1/2025,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 005069,,MTV - Wrecker Control Module Pop Extension,,,$250K to $1M,2355,,,,,,,,12/20/2024,6,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W56KGU-25-2-0044,,FY25 APEX Award - Northeast Michigan Consortium,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-24-P-0000 024913,,SWB Aviation Metric Toolboxes,,,$25K to $250K,UNKNOWN,,,DO NEG,,Firm Fixed Price,11/22/2024,12/6/2024,,5,MICC,418TH CSB,USARNORTH,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 005791,W52P1J15D0008,Lynda (Linked in) License GEARS#202395,,,$25K to $250K,7A21,,,DO,,Firm Fixed Price,5/21/2025,6/4/2025,9/5/2025,60,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-22-P-0000 001164,,JAB Competitive Continued Production BASE,,,≥ $250M,5420,,,,,,,,8/15/2025,36,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CN-25-Q-0007,,"SVC PM/Repair Fire Sup, Auto Chem & Hood Clean",Yes,No,$1M to $5M,J073,238220,,CONTR,,Firm Fixed Price,12/2/2024,12/17/2024,2/7/2025,60,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56KGU-25-2-0078,,FY25 APEX Award - University of Massachusetts,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 023553,,Fort Sill Information Technology Services Contract,,,$1M to $5M,DG01,,,CONTR,,Firm Fixed Price,,,4/1/2025,60,ACC CTRS,ACC-APG,USARCYBER,ACC OSBP - APG,https://osbp.apg.army.mil
PAN414-25-P-0000 000270,,Security Implication of Climate Change( SICC) 2025,,,$25K to $250K,X1AB,,,CONTR,,Firm Fixed Price,4/10/2025,5/9/2025,,1,ACC OO,414TH CSB,USAFRICOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-24-P-0000 015837,W911S021D0006,AIMD Applications Support_5 Year,No,No,$50M to $100M,DA01,541512,,DO NEG,IDC,Cost Plus Fixed Fee,12/17/2024,1/17/2025,3/24/2025,60,MICC,FDO EUSTIS,AFC: FCC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W50NH9-25-R-AWCP,,SEC DAHQ SASF AWCP,,,$100M to $250M,R799,,,CONTR,,Cost Plus Fixed Fee,12/9/2024,1/14/2025,5/15/2025,66,ACC CTRS,ACC-DTA,"HQ, DA",ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-24-S-0002,,GVSC Commercial Solutions Opening (CSO),,,< $25K,N/A,,,BPA,,Order Dependent,,,,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 002696,,de-obligation RTOP 24-044,,,< $25K,N/A,,,,,,,,11/29/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-24-F-0020,,UH60M MOSA AAS,,,$50M to $100M,K016,,,DO,,Cost Plus Fixed Fee,10/24/2023,,11/29/2024,48,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-25-Q-LITE,,Araldite 507,No,No,$25K to $250K,1370,325211,,CONTR,,Firm Fixed Price,12/2/2024,1/10/2025,5/27/2025,3,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANNWJ-25-P-0000 001916,,Mortar Practice Fuzes DO #2,,,$1M to $5M,1390,,,DO,,Firm Fixed Price,,,12/18/2024,36,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W58RGZ-25-R-0055,,Germany CH-47F Block II Aircraft and support CRP,No,No,≥ $250M,1520,336411,,CONTR,,Firm Fixed Price,,,11/28/2025,36,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANNWJ-25-P-0000 000295,,ME001 Auburn - Snow - FY25 - TO PR 12171882,,,$25K to $250K,S218,,,DO,,Firm Fixed Price,12/18/2024,,12/29/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W56KGU-25-2-0036,,FY25 APEX Award - Nat Center for American Indian,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W91CRB-25-R-0011,W91CRB20C0026,DASA DEC ASAE Support,,,$50M to $100M,R410,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,2/3/2025,3/3/2025,6/20/2025,60,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 001152,W912C320D0002,ROOF IDIQ (NEW REQUIREMENT),,,$5M to $10M,Z1AZ,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,4/30/2025,5/30/2025,,60,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 002804,,"Source Selection Sensitive, W56HZV-23-R-0072",,,$10M to $25M,2530,,,CONTR,,Firm Fixed Price,,,,24,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN411-25-P-0000 000621,," 12202743, Ground Maintenance in USAG Yongsan-Case",,,$1M to $5M,S208,,,CONTR,,Firm Fixed Price,,,3/1/2025,12,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 000084,,DPW INCREMENTAL FUNDING OPT 1 W56ZTN24D0005,,,$25K to $250K,S218,,,DO,,Firm Fixed Price,11/29/2024,12/6/2024,12/3/2024,12,ACC CTRS,ACC-APG,AMC: IMCOM,ACC OSBP - APG,https://osbp.apg.army.mil
PAN411-25-P-0000 000100,,SV/KN/ak13kok/Grounds Maintenance,,,$1M to $5M,S208,,,CONTR,,Firm Fixed Price,2/28/2025,3/27/2025,,60,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PAN411-25-P-0000 001066,,PR W81PUD4282N002 LCS NTV,,,$25K to $250K,2310,,,CONTR,,Firm Fixed Price,1/15/2025,2/15/2025,,24,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56HZV-18-A-J003 0497,,SDR D0288,,,< $25K,N/A,,,DO,,Firm Fixed Price,,,,1,ACC CTRS,ACC-DTA,AMC: USASAC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W56KGU-25-C-0004,, BAA Camgian Corp - Cognitive Computing,No,No,$50M to $100M,AJ12,541715,,CONTR,,Cost Plus Fixed Fee,,,2/28/2025,60,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-23-P-0000 007138,,JRIC Source Selection,,,$50M to $100M,R608,,,DO NEG,,Fixed Price Level of Effort,,,,60,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 026098,,Master Musician Services,,,$25K to $250K,G002,,,PO,,Firm Fixed Price,11/29/2024,12/11/2024,5/30/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 022913,,EMSO FY25 RECOMPETE,,,$1M to $5M,R499,,,CONTR,,Firm Fixed Price,2/18/2025,3/20/2025,8/20/2025,60,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91RUS-24-R-WEST,,Follow-on West Point IMCSIV Tech Board,,,$1M to $5M,DG01,,,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-APG,USARCYBER,ACC OSBP - APG,https://osbp.apg.army.mil
W9124D-25-R-0045,W9124D18D0001,5th-Spokane-AMS-New,No,No,$1M to $5M,R408,561110,SMALL BUSINESS SET ASIDE - PARTIAL,DO NEG,IDC,Firm Fixed Price,12/10/2024,1/10/2025,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 004458,,RFP Government-led Ground Test (a.k.a System Qual),,,≥ $250M,1440,,,,,Cost Plus Fixed Fee,,,12/19/2024,TBD,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PAN411-24-P-0000 003046,,SP/NTV-93 ea for 8A/PY/cs33usy,,,$1M to $5M,2310,,,CONTR,,Firm Fixed Price,12/16/2024,1/16/2025,12/2/2024,12,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912CH-24-Q-0116,,EH4C1013EH 014266219 AIR CONDITIONER,,,$25K to $250K,4120,,,CONTR,,Firm Fixed Price,1/15/2025,2/14/2025,1/20/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN411-24-P-0000 003131,W52P1J18DA137,SV/J6 IT Support Services_Follow on/cs13uny,,,$25M to $50M,N/A,,,CONTR,IDC,Firm Fixed Price,4/10/2025,6/10/2025,,60,ACC OO,411TH CSB,USARPAC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912CH-25-Q-0018,,EH4C0486EH DISTRIBUTION BOX 016087660,,,$25K to $250K,4240,221122,,CONTR,,Firm Fixed Price,2/28/2025,3/28/2025,4/16/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-24-P-0000 005488,,LCPP - PLJS (PDJS) - Spray Drying ,,,$25K to $250K,M1EA,,,PO,,Firm Fixed Price,,,12/31/2024,10,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANORL-24-P-0000 002521,W900KK24C0017,MSTC Instructor/Operator Support Services (MIOSS),,,$50M to $100M,N/A,,NO SET ASIDE USED.,,,,,,4/29/2025,TBD,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PAN413-25-P-0000 000770,,Increase for the additional $1250.00,,,< $25K,UNKNOWN,,,,,,,,12/15/2024,1,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W15QKN-20-D-5039 XXX4,,"Snow - Riverdale, MD020 (OY4 T/O)",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,11/4/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANDTA-25-P-0000 000402,,Task Order -006 for 3-D Obj Cons,No,No,$25K to $250K,J083,712110,,DO,,Firm Fixed Price,12/11/2024,,3/28/2025,12,ACC CTRS,ACC-DTA,TRADOC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-25-R-0008,,JA00858 EH4C0919EH SKATE MOUNT ASSEMBL,,,$250K to $1M,2350,,,CONTR,,Firm Fixed Price,3/27/2025,4/29/2025,7/13/2026,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912NW-25-F-0008,,Motor Pool OY4,,,$1M to $5M,UNKNOWN,,,DO,,Firm Fixed Price,11/20/2024,,11/29/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-24-P-0000 025535,,Fuel Handlers Distribution ,,,$250K to $1M,N/A,,,CONTR,,Firm Fixed Price,12/9/2024,1/9/2025,2/1/2025,12,MICC,418TH CSB,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
NAFPA2-24-R-0014,,NAF-Class of 2028 Class Rings,,,$25M to $50M,N/A,,,CONTR,,Firm Fixed Price,9/6/2024,2/20/2026,,12,MICC,FDO EUSTIS,USMA,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 009119,,CDAO - AI TALENT 2.0 - BOA - DARK WOLF ,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W911W4-05-D-0004 0011,,BEAE SYSTEMS,,,$5M to $10M,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN409-25-P-0000 000023,,"OY1 HVAC Maintenance and Repair - Service - CAB,SA",,,$1M to $5M,J041,,,DO,,Firm Fixed Price,5/12/2025,5/19/2025,7/10/2025,10,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W15QKN-23-D-5015 0003,,T.O. - OY3 - SNOW - Clearfield PA017,,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-25-P-0000 005938,,W911N2-21-D-0044,,,< $25K,J029,,,DO,,Firm Fixed Price,11/29/2024,,11/27/2024,1,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W912CH-24-R-0093,,"EH4C0619EH 015585109 TESTING KIT,PETROLE",No,No,$1M to $5M,6630,334515,,CONTR,,Firm Fixed Price,12/13/2024,12/28/2024,4/7/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 000816,,Funding modification,,,$25K to $250K,S119,,,,,,,,11/29/2024,12,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W15QKN-21-D-5029 XXX8,,"Snow - Wheeling, WV053 (OY4 T/O)",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,1/13/2025,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-18-P-0000 082718,,PLANNING - V6.Z,,,$100M to $250M,UNKNOWN,,,CONTR,,Cost Plus Incentive Fee,12/31/2026,12/31/2026,12/31/2026,24,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANDTA-25-P-0000 000664,,NGIC FY25 SolidWorks Maintenance,No,No,$25K to $250K,DG10,513210,,DO,,Firm Fixed Price,,,1/31/2025,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W5168W-25-R-0031,W9124J19D0008,Fort Jackson FFS,No,No,≥ $250M,M1FD,722310,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,2/3/2025,3/5/2025,5/16/2025,60,MICC,FDO FSH,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-23-P-0000 006652,,MTV A2- 320 M1078 & M1083 changed to LVAD,,,$25M to $50M,2355,,,DO NEG,,Firm Fixed Price,,,2/28/2025,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-24-P-0000 005360,,DPW BOILER MAINTENANCE,,,$25K to $250K,N/A,,,,,,,,8/2/2025,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-21-D-5037 XXX4,,"TO#4 to OY3 - SNOW - Lewes, DE (DE002)",,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-25-P-0000 007716,,RTOP 25-137 Serbian-Croatian-Dubose,,,$25K to $250K,U099,,,DO,,Time and Materials,11/14/2024,,12/18/2024,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-24-P-0000 004337,,VA039 Marion - Snow - FY25 - REQ PR 12143946,,,$25K to $250K,S218,,,,,,,,12/7/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANAPG-25-P-0000 002283,,0012217186 - B1121 Window Repair & Lowering,,,< $25K,Z2AA,,,,,,,,11/26/2024,2,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 004559,,6 PR's - Iscar Tooling,,,< $25K,3455,,,DO NEG,,Firm Fixed Price,,,,3,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911W4-04-D-0005 0038,,The Titan Corporation,,,$5M to $10M,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,7,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 006201,,FA-17402-25 Repair Tucker Pool,,,$25K to $250K,N/A,,,,,,,,1/6/2025,1,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-25-P-0000 001781,,CSS 98566-MD040-Smathers-Replace Gutters downspout,,,$250K to $1M,N/A,,,,,,,,1/31/2025,3,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-25-P-0000 003159,,MDD Postage Machine Lease NLT 31DEC24 [PADDS],,,< $25K,W075,,,DO,,Firm Fixed Price,,,1/1/2025,60,ACC CTRS,ACC-RI,"HQ, AMC",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 010230,,FY25 Biomonitoring & Toxic Chem Testing Recompete,,,$25K to $250K,4540,,,CONTR,,Firm Fixed Price,,,9/16/2025,66,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 000982,,"TEM 12 White Paper 0013, Automated API Management",,,$1M to $5M,5895,,,CONTR,,Cost Plus Fixed Fee,,,,24,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
W9124J-25-R-EE05,,FY25 LCAAP Environmental Remediation Services,No,No,$10M to $25M,F999,562910,,CONTR,,Firm Fixed Price,,,12/7/2024,60,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 001004,W52P1J20D0046, PM ARDAP Atlassian SW Maint Renewal,,,$25K to $250K,7A21,,SMALL BUSINESS SET ASIDE - TOTAL,DO,IDC,Firm Fixed Price,11/25/2024,12/2/2024,1/10/2025,12,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W15QKN-25-Q-11KX,,Autodesk Software Maintenance Renewal,,,$25K to $250K,DA10,,,DO NEG,,Firm Fixed Price,,,11/29/2024,12,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W31P4Q-25-C-0007,,MLRS Fleet Upgrade Solicitation FY25/26,,,≥ $250M,2350,,,CONTR,,Fixed Price Incentive,4/28/2023,1/31/2025,4/30/2025,48,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W912CH-25-R-0028,,ATS Sustainment- TTS,,,< $25K,1095,,,CONTR,,Firm Fixed Price,,,,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
DASC01-03-D-0003 0007,,Systemware Inc.,,,$250K to $1M,N/A,,,DO NEG,,Firm Fixed Price,,,,1,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PAN409-24-P-0000 002209,,Recompete the contract for the Belgium circuits,,,$25K to $250K,W059,,,CONTR,,Firm Fixed Price,12/6/2024,1/6/2025,1/31/2025,12,ACC OO,409TH CSB,USARCYBER,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 002782,,83795-SM-HEC (INC),,,$250K to $1M,AJ11,,,,,Cost No Fee,,,12/12/2024,60,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 001653,,"PR #12209065, Gate Operators",,,$25K to $250K,J063,,,PO,,Firm Fixed Price,11/15/2024,11/29/2024,12/1/2024,3,ACC CTRS,ACC-APG,USATEC,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 002529,,CASTING HUB ,,,< $25K,9999,,,DO,,Firm Fixed Price,11/18/2024,12/16/2024,1/6/2025,2,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 000006,,Fort Devens Basic Cable,,,< $25K,UNKNOWN,,,,,,,,1/28/2025,TBD,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-24-P-0000 006168,W9124720C0006,USARC GCSS-Army Medical Device/Medical Systems,,,$5M to $10M,DH01,,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,12/3/2024,12/16/2024,1/28/2025,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 009065,,RTOP 25-135 Vietnamese-Chen,,,$25K to $250K,N/A,,,DO,,Time and Materials,,,12/30/2024,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-2-0080,,FY25 APEX Award - Univ of Nebraska at Omaha,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-24-P-0000 019293,,UIPE FoS AGL Gloves,No,No,$50M to $100M,8415,315210,,CONTR,,Firm Fixed Price,11/29/2024,12/27/2024,,72,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
W31P4Q-24-R-0021,,MRC_Technical Insertions Contract (TIC) ,No,No,$50M to $100M,AC13,541330,,CONTR,,Cost Plus Fixed Fee,8/29/2024,11/29/2024,1/31/2025,36,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-24-P-0000 013764,W15QKN1996000,Accessions Information Environment (AIE),No,No,$5M to $10M,7D20,541512,,DO NEG,,Cost Plus Fixed Fee,2/14/2025,2/26/2025,11/29/2024,120,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-25-R-L019,W52PJ120D0061,Microsoft Premier Services  Recompete,,,$250K to $1M,DA01,,,DO,,Firm Fixed Price,11/21/2024,12/16/2024,12/30/2024,12,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 020239,W9124R20D0005,Chemical Latrines & Pumping Follow-on FY25,,,$1M to $5M,S222,,SMALL BUSINESS SET ASIDE - TOTAL,PO,,Firm Fixed Price,2/3/2025,3/10/2025,7/31/2025,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 002790,,RTI W15P7T19D0082/W909MY23F0018 INC Funding,,,$25M to $50M,AC13,,,,,,,,11/27/2024,48,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANORL-25-P-0000 000872,,TIPS - Update DD254,,,< $25K,R425,,,,,Firm Fixed Price,,,1/31/2025,60,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PANMCC-25-P-0000 000524,,Most Holy Trinity Four Chaplain Garden,,,$25K to $250K,S208,,,,,,,,3/3/2025,6,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
